,now,doc,size(MB),storageSize(MB),chunk,insert_per_10sec
293,2016-03-25 16:01:15,44028932,10439.0,3109.0,0,142304
294,2016-03-25 16:01:25,44251389,10491.0,3125.0,0,222457
295,2016-03-25 16:01:35,44406251,10528.0,3137.0,0,154862
296,2016-03-25 16:01:45,44560782,10565.0,3144.0,0,154531
297,2016-03-25 16:01:56,44704877,10599.0,3158.0,0,144095
298,2016-03-25 16:02:06,44822637,10626.0,3158.0,0,117760
299,2016-03-25 16:02:16,44979129,10664.0,3176.0,0,156492
300,2016-03-25 16:02:26,45128707,10699.0,3185.0,0,149578
301,2016-03-25 16:02:36,45273244,10733.0,3199.0,0,144537
302,2016-03-25 16:02:47,45368834,10756.0,3202.0,0,95590
303,2016-03-25 16:02:57,45555640,10801.0,3220.0,0,186806
304,2016-03-25 16:03:07,45699338,10834.0,3225.0,0,143698
305,2016-03-25 16:03:17,45899984,10883.0,3241.0,0,200646
306,2016-03-25 16:03:28,46028812,10912.0,3250.0,0,128828
307,2016-03-25 16:03:38,46169685,10946.0,3260.0,0,140873
308,2016-03-25 16:03:48,46352416,10989.0,3266.0,0,182731
309,2016-03-25 16:03:58,46462282,11015.0,3278.0,0,109866
310,2016-03-25 16:04:09,46600932,11048.0,3287.0,0,138650
311,2016-03-25 16:04:19,46779470,11090.0,3303.0,0,178538
312,2016-03-25 16:04:29,46932063,11127.0,3313.0,0,152593
313,2016-03-25 16:04:39,47063034,11158.0,3320.0,0,130971
314,2016-03-25 16:04:49,47209994,11192.0,3331.0,0,146960
315,2016-03-25 16:05:00,47341754,11224.0,3340.0,0,131760
316,2016-03-25 16:05:10,47522353,11267.0,3357.0,0,180599
317,2016-03-25 16:05:20,47688722,11306.0,3368.0,0,166369
318,2016-03-25 16:05:30,47822615,11338.0,3378.0,0,133893
319,2016-03-25 16:05:41,47934564,11364.0,3378.0,0,111949
320,2016-03-25 16:05:51,48080298,11399.0,3389.0,0,145734
321,2016-03-25 16:06:01,48262090,11442.0,3405.0,0,181792
322,2016-03-25 16:06:11,48384267,11471.0,3415.0,0,122177
323,2016-03-25 16:06:22,48631776,11530.0,3431.0,0,247509
324,2016-03-25 16:06:32,48753953,11559.0,3442.0,0,122177
325,2016-03-25 16:06:42,48918129,11598.0,3456.0,0,164176
326,2016-03-25 16:06:52,49049201,11629.0,3463.0,0,131072
327,2016-03-25 16:07:03,49172076,11658.0,3472.0,0,122875
328,2016-03-25 16:07:13,49346301,11699.0,3484.0,0,174225
