now,doc,size(MB),storageSize(MB),chunk
2016-03-25 16:16:05,57114348,13541,4035,0
2016-03-25 16:16:16,57290251,13583,4047,0
2016-03-25 16:16:26,57429087,13616,4057,0
2016-03-25 16:16:36,57541776,13642,4065,0
2016-03-25 16:16:46,57753966,13693,4083,0
2016-03-25 16:16:56,57919203,13732,4091,0
2016-03-25 16:17:07,58067418,13767,4105,0
2016-03-25 16:17:17,58216097,13802,4114,0
2016-03-25 16:17:27,58329447,13829,4114,0
2016-03-25 16:17:37,58489261,13867,4133,0
2016-03-25 16:17:48,58605063,13894,4144,0
2016-03-25 16:17:58,58781912,13936,4151,0
2016-03-25 16:18:08,58911645,13967,4163,0
2016-03-25 16:18:18,59039601,13997,4172,0
2016-03-25 16:18:29,59261346,14050,4186,0
2016-03-25 16:18:39,59393359,14081,4195,0
2016-03-25 16:18:49,59569160,14123,4212,0
2016-03-25 16:18:59,59690116,14151,4218,0
2016-03-25 16:19:09,59842191,14187,4228,0
2016-03-25 16:19:20,60029286,14232,4241,0
2016-03-25 16:19:30,60184270,14269,4251,0
2016-03-25 16:19:40,60349712,14308,4262,0
2016-03-25 16:19:51,60478127,14338,4276,0
2016-03-25 16:20:01,60652328,14380,4285,0
2016-03-25 16:20:11,60780284,14410,4292,0
2016-03-25 16:20:21,60900540,14439,4302,0
2016-03-25 16:20:32,61074897,14480,4306,0
2016-03-25 16:20:42,61235291,14518,4327,0
2016-03-25 16:20:52,61421481,14562,4339,0
2016-03-25 16:21:02,61563947,14596,4348,0
2016-03-25 16:21:13,61709061,14630,4357,0
2016-03-25 16:21:23,61870301,14668,4371,0
2016-03-25 16:21:33,62074314,14717,4383,0
2016-03-25 16:21:43,62204027,14747,4383,0
2016-03-25 16:21:53,62325143,14776,4403,0
2016-03-25 16:22:04,62476579,14812,4415,0
2016-03-25 16:22:14,62651514,14854,4427,0
2016-03-25 16:22:24,62818373,14894,4438,0
2016-03-25 16:22:35,62959785,14927,4447,0
2016-03-25 16:22:45,63084419,14956,4457,0
2016-03-25 16:22:55,63249346,14996,4468,0
2016-03-25 16:23:05,63376415,15025,4478,0
2016-03-25 16:23:16,63499290,15055,4487,0
2016-03-25 16:23:26,63729382,15109,4503,0
2016-03-25 16:23:36,63859919,15140,4512,0
2016-03-25 16:23:46,63962145,15164,4517,0
2016-03-25 16:23:56,64164408,15212,4531,0
2016-03-25 16:24:07,64319487,15249,4545,0
2016-03-25 16:24:17,64468308,15284,4554,0
2016-03-25 16:24:27,64601791,15316,4563,0
2016-03-25 16:24:37,64720234,15344,4575,0
2016-03-25 16:24:48,64854092,15376,4582,0
2016-03-25 16:24:58,65083130,15430,4600,0
2016-03-25 16:25:08,65218254,15462,4607,0
2016-03-25 16:25:18,65388635,15502,4619,0
2016-03-25 16:25:29,65508681,15531,4628,0
2016-03-25 16:25:39,65730685,15584,4644,0
2016-03-25 16:25:49,65855320,15613,4651,0
2016-03-25 16:25:59,65959641,15638,4658,0
2016-03-25 16:26:10,66125716,15677,4667,0
2016-03-25 16:26:20,66279909,15714,4683,0
2016-03-25 16:26:30,66452087,15755,4695,0
2016-03-25 16:26:40,66598847,15789,4704,0
2016-03-25 16:26:51,66782031,15833,4718,0
